Month,type,北京,上海,广州,杭州,西安
1,PM2.5,52.22849462365591,48.854838709677416,47.58064516129032,63.971774193548384,139.01478494623655
2,PM2.5,52.97757847533632,40.77279521674141,25.747384155455904,46.14050822122571,113.68460388639761
3,PM2.5,52.4830852503383,50.60757780784844,28.588633288227335,43.73071718538566,44.937753721244924
4,PM2.5,48.495104895104895,39.705882352941174,23.962237762237763,38.23216783216783,44.49299719887955
5,PM2.5,37.749661705006766,32.84032476319351,20.6914749661705,33.918809201623816,41.851150202976996
6,PM2.5,38.78097982708934,28.942446043165468,15.642241379310345,28.528735632183906,26.05316091954023
7,PM2.5,37.07327001356852,25.62162162162162,18.513513513513512,21.706756756756757,22.066216216216215
8,PM2.5,25.049759229534512,22.66131621187801,21.658105939004816,22.37720706260032,23.747993579454253
9,PM2.5,33.81587301587302,22.118858954041205,29.787638668779714,29.66402535657686,27.583201267828844
10,PM2.5,39.73587570621469,31.699152542372882,38.50282485875706,37.46468926553672,38.597457627118644
11,PM2.5,44.50209205020921,27.513249651324966,43.24407252440725,40.87168758716876,80.61506276150628
12,PM2.5,44.767881241565455,49.45344129554656,42.6221322537112,50.45344129554656,100.19973009446694
1,O3_8h,28.09005376344086,40.97715053763441,32.71774193548387,21.004032258064516,19.038978494623656
2,O3_8h,42.12855007473841,62.869955156950674,31.189835575485798,41.45291479820628,36.91629297458894
3,O3_8h,53.58322056833559,71.93098782138024,32.799729364005415,51.72530446549391,42.224627875507444
4,O3_8h,63.64895104895105,77.7016806722689,33.96503496503497,51.34825174825175,53.02100840336134
5,O3_8h,85.19621109607577,91.31664411366712,47.895805142083894,80.63058186738836,62.18538565629229
6,O3_8h,110.29538904899135,91.46474820143885,48.53448275862069,76.92097701149426,86.55172413793103
7,O3_8h,95.29579375848033,75.97837837837838,45.71351351351351,68.36351351351351,83.26756756756757
8,O3_8h,73.18459069020867,73.00481540930978,62.495987158908505,68.71910112359551,76.64526484751204
9,O3_8h,83.83226837060703,73.74484944532487,79.92234548335975,80.7337559429477,57.22187004754358
10,O3_8h,23.42293906810036,67.88983050847457,81.64689265536722,53.362994350282484,22.2909604519774
11,O3_8h,19.458856345885636,57.00976290097629,74.95955369595536,34.71966527196653,15.620641562064156
12,O3_8h,22.66531713900135,37.00134952766532,42.75033738191633,21.80701754385965,16.889338731443996
